wp_id,slug,title,deathdate,description,prev_views,latest_views,diff,ratio,pct_change,anomaly_score
385653,Ali_Khamenei,Ali Khamenei,2026-02-28,Supreme Leader of Iran since 1989,16677099,814290,-15862809,0.04882683732944200907,-0.95117316267055799093,1587.232073162670557990930
162617,Chuck_Norris,Chuck Norris,2026-03-19,"American martial artist, actor, film producer and screenwriter",11404771,699358,-10705413,0.06132152938450057436,-0.93867847061549942564,1071.479978470615499425640
23324096,Mojtaba_Khamenei,Mojtaba Khamenei,2026-02-28,cleric and 3rd Supreme Leader of Iran since 2026,5618141,785433,-4832708,0.13980300601213105901,-0.86019699398786894099,484.130996993987868940990
14995351,Michael_Jackson,Michael Jackson,2009-06-25,"American singer, songwriter, and dancer",1154057,5209531,4055474,4.5141019897630706,3.5141019897630706,409.06150198976307060
76453946,Péter_Magyar,Péter Magyar,,"Hungarian lawyer, diplomat, political activist (1981–)",281367,4080952,3799585,14.5040178841157634,13.5040178841157634,393.46251788411576340
26232,Ruhollah_Khomeini,Ruhollah Khomeini,1989-06-03,First Supreme Leader of Iran from 1979 to 1989,4217553,378061,-3839492,0.08963989308492388833,-0.91036010691507611167,384.859560106915076111670
56472,Benjamin_Netanyahu,Benjamin Netanyahu,,Prime Minister of Israel,4955561,1235143,-3720418,0.24924382930610681616,-0.75075617069389318384,372.792556170693893183840
73093597,Sabastian_Sawe,Sabastian Sawe,,Kenyan long-distance runner,2296,682414,680118,297.2186411149825784,296.2186411149825784,364.23044111498257840
3518870,Alex_Manninger,Alex Manninger,2026-04-16,Austrian former professional footballer,5461,1219609,1214148,223.3307086614173228,222.3307086614173228,343.74550866141732280
8155181,Nadia_Farès,Nadia Farès,2026-04-17,French actress,8505,1546029,1537524,181.7788359788359788,180.7788359788359788,334.53123597883597880
6253522,Jeffrey_Epstein,Jeffrey Epstein,2019-08-10,American financier and convicted sex offender,4692391,1733584,-2958807,0.36944576869233616721,-0.63055423130766383279,296.511254231307663832790
75318945,Jaafar_Jackson,Jaafar Jackson,,American singer and actor,277447,3092672,2815225,11.1468929200892423,10.1468929200892423,291.66939292008924230
